,date,event_name,digital_button,photoresistor,temperature,humidity
324,November 19 2019 at 02:27AM,esp8266_readings,1,1024,19.10,49.00
325,November 19 2019 at 02:28AM,esp8266_readings,1,1024,19.10,49.00
326,November 19 2019 at 02:29AM,esp8266_readings,1,1024,19.10,49.00
327,November 19 2019 at 02:30AM,esp8266_readings,1,1024,19.10,49.00
328,November 19 2019 at 02:31AM,esp8266_readings,1,1024,19.10,49.00
329,November 19 2019 at 02:32AM,esp8266_readings,1,1024,19.10,49.00
330,November 19 2019 at 02:33AM,esp8266_readings,1,1024,19.10,49.00
331,November 19 2019 at 02:34AM,esp8266_readings,1,1024,19.10,49.00
332,November 19 2019 at 02:35AM,esp8266_readings,1,1024,19.10,49.00
333,November 19 2019 at 02:36AM,esp8266_readings,1,1024,19.10,49.00
334,November 19 2019 at 02:37AM,esp8266_readings,1,1024,19.10,49.00
335,November 19 2019 at 02:38AM,esp8266_readings,1,1024,19.10,49.00
336,November 19 2019 at 02:39AM,esp8266_readings,1,1024,19.10,49.00
337,November 19 2019 at 02:40AM,esp8266_readings,1,1024,19.10,49.00
338,November 19 2019 at 02:41AM,esp8266_readings,1,1024,19.10,49.00
339,November 19 2019 at 02:42AM,esp8266_readings,1,1024,19.10,49.00
340,November 19 2019 at 02:43AM,esp8266_readings,1,1024,19.10,49.00
341,November 19 2019 at 02:44AM,esp8266_readings,1,1024,19.10,49.00
342,November 19 2019 at 02:45AM,esp8266_readings,1,1024,19.10,48.00
343,November 19 2019 at 02:46AM,esp8266_readings,1,1024,19.10,49.00
344,November 19 2019 at 02:47AM,esp8266_readings,1,1024,19.10,49.00
345,November 19 2019 at 02:48AM,esp8266_readings,1,1024,19.10,49.00
346,November 19 2019 at 02:49AM,esp8266_readings,1,1024,19.10,49.00
347,November 19 2019 at 02:50AM,esp8266_readings,1,1024,19.10,48.00
348,November 19 2019 at 02:51AM,esp8266_readings,1,1024,19.10,48.00
349,November 19 2019 at 02:52AM,esp8266_readings,1,1024,19.10,48.00
350,November 19 2019 at 02:53AM,esp8266_readings,1,1024,19.10,48.00
351,November 19 2019 at 02:54AM,esp8266_readings,1,1024,19.10,48.00
352,November 19 2019 at 02:55AM,esp8266_readings,1,1024,19.10,49.00
353,November 19 2019 at 02:56AM,esp8266_readings,1,1024,19.10,48.00
354,November 19 2019 at 02:57AM,esp8266_readings,1,1024,19.10,49.00
